epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,2678.88,0.66053,0.47825,1.01105,0.99771,1,0.995,0.90616,0.44204,0.31365,0.84751,0.0017921,0.0017921,0.0017921
44,2739.04,0.67744,0.47627,1.04662,0.97619,1,0.995,0.85162,0.59979,0.50584,0.91658,0.00178715,0.00178715,0.00178715
45,2799.01,0.63965,0.42651,0.99017,0.98405,1,0.995,0.87586,0.55514,0.59783,0.90431,0.0017822,0.0017822,0.0017822
46,2859.43,0.6371,0.42269,0.98371,0.97626,1,0.99417,0.88258,0.50242,0.47216,0.8742,0.00177725,0.00177725,0.00177725
47,2919.8,0.60554,0.43526,0.99348,0.99838,1,0.995,0.89893,0.49409,0.34619,0.86917,0.0017723,0.0017723,0.0017723
48,2979.8,0.61692,0.44012,0.98218,0.99869,1,0.995,0.88556,0.51952,0.74427,0.87538,0.00176735,0.00176735,0.00176735
49,3040.2,0.63777,0.42817,0.99924,0.99656,1,0.995,0.90109,0.51282,0.72197,0.88376,0.0017624,0.0017624,0.0017624
50,3100.5,0.62447,0.42052,0.99866,0.99574,1,0.995,0.89085,0.47364,0.39626,0.85574,0.00175745,0.00175745,0.00175745
51,3160.41,0.59435,0.38686,0.9654,0.98285,1,0.995,0.89557,0.48393,0.319,0.85963,0.0017525,0.0017525,0.0017525
52,3220.66,0.66406,0.41666,0.99869,0.99463,1,0.995,0.89119,0.54737,0.46976,0.87401,0.00174755,0.00174755,0.00174755
53,3281.21,0.66446,0.43325,1.00686,0.99673,1,0.995,0.899,0.51069,0.33707,0.88361,0.0017426,0.0017426,0.0017426
54,3341.73,0.63841,0.41802,1.0045,0.9986,1,0.995,0.90158,0.48771,0.3029,0.85979,0.00173765,0.00173765,0.00173765
55,3403.34,0.60467,0.38475,0.96043,0.99898,1,0.995,0.91453,0.45492,0.28361,0.85479,0.0017327,0.0017327,0.0017327
56,3464.69,0.62782,0.38841,0.97958,0.99901,1,0.995,0.90246,0.48594,0.30743,0.87063,0.00172775,0.00172775,0.00172775
57,3525.29,0.6073,0.38726,0.96274,1,0.99994,0.995,0.91765,0.44273,0.29834,0.84488,0.0017228,0.0017228,0.0017228
58,3585.47,0.55586,0.36681,0.94405,1,0.98123,0.99437,0.90325,0.47829,0.33486,0.85671,0.00171785,0.00171785,0.00171785
59,3645.68,0.58791,0.38355,0.95786,0.96474,0.98305,0.99006,0.89096,0.44868,0.32887,0.86063,0.0017129,0.0017129,0.0017129
60,3705.76,0.57162,0.38766,0.97254,0.99,1,0.995,0.91155,0.4603,0.3081,0.84135,0.00170795,0.00170795,0.00170795
61,3765.84,0.6088,0.40701,0.97638,0.99878,1,0.995,0.90946,0.45956,0.29137,0.83859,0.001703,0.001703,0.001703
62,3826.29,0.5522,0.36727,0.94476,0.9986,1,0.995,0.91956,0.44229,0.27451,0.83945,0.00169805,0.00169805,0.00169805
63,3887.27,0.56826,0.35626,0.972,0.98191,1,0.99483,0.91215,0.45157,0.28289,0.8503,0.0016931,0.0016931,0.0016931
64,3947.3,0.61653,0.39865,0.99083,1,0.99948,0.995,0.91942,0.43365,0.28082,0.83853,0.00168815,0.00168815,0.00168815
65,4007.64,0.55539,0.3778,0.95955,0.98333,0.99988,0.99483,0.8777,0.49716,0.33967,0.85981,0.0016832,0.0016832,0.0016832
66,4070.33,0.556,0.38292,0.96701,0.99908,1,0.995,0.90803,0.43675,0.2661,0.85702,0.00167825,0.00167825,0.00167825
67,4134.13,0.60541,0.37619,0.97885,0.99889,1,0.995,0.90488,0.45397,0.25525,0.85231,0.0016733,0.0016733,0.0016733
68,4198.26,0.55888,0.35464,0.94753,0.99777,1,0.995,0.90426,0.44539,0.27006,0.84749,0.00166835,0.00166835,0.00166835
69,4262.59,0.55217,0.37941,0.96194,0.99812,1,0.995,0.91122,0.43889,0.30493,0.84498,0.0016634,0.0016634,0.0016634
70,4327.7,0.55672,0.34982,0.93821,0.99899,1,0.995,0.91006,0.41749,0.25412,0.83446,0.00165845,0.00165845,0.00165845
71,4391.07,0.57214,0.38451,0.94023,0.99887,1,0.995,0.91715,0.4308,0.27794,0.8481,0.0016535,0.0016535,0.0016535
72,4454.83,0.55415,0.36352,0.9514,0.998,1,0.995,0.91205,0.44622,0.27328,0.83514,0.00164855,0.00164855,0.00164855
73,4518.52,0.56321,0.36789,0.95478,0.99988,1,0.995,0.89943,0.46567,0.2949,0.86311,0.0016436,0.0016436,0.0016436
74,4582.21,0.5502,0.36279,0.94521,0.99715,1,0.995,0.9206,0.43257,0.26778,0.83487,0.00163865,0.00163865,0.00163865
75,4645.81,0.55317,0.36157,0.94533,0.99994,1,0.995,0.89392,0.4862,0.30695,0.85628,0.0016337,0.0016337,0.0016337
76,4709.58,0.56556,0.38978,0.97137,0.99892,1,0.995,0.89495,0.4764,0.42322,0.85847,0.00162875,0.00162875,0.00162875
77,4773.06,0.57572,0.39227,0.96435,0.99888,1,0.995,0.91022,0.47242,0.28906,0.8485,0.0016238,0.0016238,0.0016238
78,4837.48,0.54875,0.36715,0.95645,0.99898,1,0.995,0.91408,0.46052,0.28436,0.84102,0.00161885,0.00161885,0.00161885
79,4900.72,0.50949,0.34488,0.93948,0.99905,1,0.995,0.91927,0.44186,0.24875,0.83588,0.0016139,0.0016139,0.0016139
80,4963.68,0.5251,0.33728,0.93204,0.99878,1,0.995,0.90534,0.46161,0.28135,0.84144,0.00160895,0.00160895,0.00160895
81,5027,0.59317,0.40537,0.97521,0.99872,1,0.995,0.91057,0.45507,0.27443,0.85218,0.001604,0.001604,0.001604
82,5090.89,0.55751,0.37071,0.95312,0.99894,1,0.995,0.91522,0.49079,0.28069,0.84984,0.00159905,0.00159905,0.00159905
83,5154.44,0.53645,0.33167,0.95455,0.99903,1,0.995,0.91834,0.4704,0.26739,0.84866,0.0015941,0.0015941,0.0015941
84,5218.32,0.51954,0.3291,0.94428,0.99771,1,0.995,0.92292,0.44559,0.24207,0.84534,0.00158915,0.00158915,0.00158915
85,5282.68,0.49222,0.33464,0.92571,0.99834,1,0.995,0.93041,0.40188,0.23989,0.82675,0.0015842,0.0015842,0.0015842
86,5345.95,0.51562,0.32817,0.94621,0.9949,1,0.995,0.91184,0.44979,0.29265,0.85904,0.00157925,0.00157925,0.00157925
87,5409.45,0.5088,0.3448,0.93826,0.99436,1,0.995,0.90803,0.45416,0.29993,0.8542,0.0015743,0.0015743,0.0015743
88,5472.85,0.52851,0.35973,0.96166,0.99279,1,0.995,0.90773,0.42652,0.33823,0.83054,0.00156935,0.00156935,0.00156935
89,5535.6,0.5086,0.32637,0.92439,0.99782,1,0.995,0.90676,0.4483,0.26899,0.84506,0.0015644,0.0015644,0.0015644
90,5598.91,0.56116,0.3584,0.97438,0.99878,1,0.995,0.90879,0.4635,0.25321,0.86494,0.00155945,0.00155945,0.00155945
91,5662.74,0.5382,0.34398,0.93319,0.99909,1,0.995,0.93524,0.39981,0.22578,0.82428,0.0015545,0.0015545,0.0015545
92,5724.71,0.49563,0.31824,0.93409,0.99901,1,0.995,0.93263,0.41287,0.23211,0.83195,0.00154955,0.00154955,0.00154955
93,5785.59,0.52344,0.32848,0.96581,0.99848,1,0.995,0.92305,0.42958,0.25191,0.85581,0.0015446,0.0015446,0.0015446
94,5846.04,0.53126,0.3313,0.94831,0.99872,1,0.995,0.93274,0.39745,0.24822,0.835,0.00153965,0.00153965,0.00153965
95,5906.3,0.50462,0.31164,0.92005,0.99907,1,0.995,0.92464,0.41594,0.24863,0.83486,0.0015347,0.0015347,0.0015347
96,5966.76,0.55071,0.35148,0.9671,0.99905,1,0.995,0.91544,0.45962,0.24673,0.83746,0.00152975,0.00152975,0.00152975
97,6027.17,0.56198,0.35023,0.97024,0.99906,1,0.995,0.91336,0.45219,0.24648,0.85305,0.0015248,0.0015248,0.0015248
98,6087.83,0.53204,0.34383,0.95433,0.99892,1,0.995,0.917,0.45534,0.24479,0.84598,0.00151985,0.00151985,0.00151985
99,6148,0.53483,0.34837,0.94113,0.99887,1,0.995,0.91455,0.4477,0.25186,0.85498,0.0015149,0.0015149,0.0015149
100,6208.29,0.54274,0.35722,0.94581,0.99774,1,0.995,0.89544,0.45724,0.2591,0.84699,0.00150995,0.00150995,0.00150995
101,6268.61,0.51809,0.33963,0.94079,0.98307,1,0.995,0.90894,0.45784,0.28083,0.83955,0.001505,0.001505,0.001505
102,6328.87,0.50655,0.32523,0.94389,0.99843,1,0.995,0.91612,0.46135,0.26426,0.84834,0.00150005,0.00150005,0.00150005
103,6388.98,0.53043,0.33605,0.97584,0.99924,1,0.995,0.92505,0.45626,0.25471,0.84956,0.0014951,0.0014951,0.0014951
104,6449.04,0.51457,0.35024,0.94103,1,0.99936,0.995,0.90525,0.51488,0.2791,0.87635,0.00149015,0.00149015,0.00149015
105,6509.12,0.52566,0.34218,0.94204,1,0.9988,0.995,0.91405,0.49609,0.27126,0.87192,0.0014852,0.0014852,0.0014852
106,6569.23,0.55058,0.35202,0.96434,0.99903,1,0.995,0.9282,0.43432,0.2572,0.83372,0.00148025,0.00148025,0.00148025
107,6629.5,0.54187,0.33694,0.9424,0.99904,1,0.995,0.89438,0.49096,0.28672,0.84893,0.0014753,0.0014753,0.0014753
108,6689.58,0.51384,0.33062,0.92704,0.99901,1,0.995,0.93489,0.40461,0.22636,0.82534,0.00147035,0.00147035,0.00147035
109,6749.77,0.49211,0.31543,0.94165,0.9991,1,0.995,0.92977,0.43113,0.24861,0.83643,0.0014654,0.0014654,0.0014654
110,6809.92,0.53536,0.35026,0.96169,0.99944,1,0.995,0.91924,0.4646,0.24379,0.84984,0.00146045,0.00146045,0.00146045
111,6869.97,0.55326,0.3523,0.95779,0.99899,1,0.995,0.92031,0.43729,0.24398,0.83485,0.0014555,0.0014555,0.0014555
112,6930.14,0.52391,0.31909,0.94357,0.99898,1,0.995,0.95228,0.39132,0.21626,0.82464,0.00145055,0.00145055,0.00145055
113,6990.41,0.57921,0.35212,0.9595,0.99907,1,0.995,0.91013,0.45001,0.23687,0.83877,0.0014456,0.0014456,0.0014456
114,7050.64,0.54995,0.35233,0.98356,0.99902,1,0.995,0.91457,0.45529,0.24678,0.85432,0.00144065,0.00144065,0.00144065
115,7110.62,0.5417,0.34654,0.98235,0.99908,1,0.995,0.9181,0.43702,0.24258,0.83583,0.0014357,0.0014357,0.0014357
116,7170.65,0.50426,0.32946,0.93871,0.99906,1,0.995,0.90448,0.44867,0.26502,0.84368,0.00143075,0.00143075,0.00143075
117,7231.05,0.49703,0.31131,0.94702,0.99867,1,0.995,0.91213,0.46501,0.25438,0.85173,0.0014258,0.0014258,0.0014258
118,7291.18,0.50268,0.3201,0.92862,0.96619,1,0.995,0.91108,0.45971,0.39012,0.84016,0.00142085,0.00142085,0.00142085
119,7351.09,0.52734,0.33275,0.94704,0.99277,1,0.995,0.91809,0.42323,0.28618,0.83733,0.0014159,0.0014159,0.0014159
120,7411.14,0.50079,0.31526,0.93112,0.99603,1,0.995,0.91881,0.43423,0.3328,0.84672,0.00141095,0.00141095,0.00141095
121,7471.65,0.48954,0.32044,0.93221,0.99898,1,0.995,0.91387,0.42527,0.23857,0.837,0.001406,0.001406,0.001406
122,7531.84,0.50142,0.30028,0.93081,0.99907,1,0.995,0.92442,0.39899,0.23143,0.83171,0.00140105,0.00140105,0.00140105
123,7593.18,0.5042,0.3107,0.93338,0.99907,1,0.995,0.93456,0.40415,0.21946,0.82376,0.0013961,0.0013961,0.0013961
124,7653.28,0.47738,0.31292,0.927,0.99905,1,0.995,0.92704,0.4082,0.22389,0.82274,0.00139115,0.00139115,0.00139115
125,7713.48,0.50491,0.31845,0.94441,0.99908,1,0.995,0.91461,0.44424,0.23695,0.84645,0.0013862,0.0013862,0.0013862
126,7773.59,0.4561,0.31122,0.91563,0.99794,1,0.995,0.94024,0.38026,0.22688,0.81089,0.00138125,0.00138125,0.00138125
127,7833.83,0.49036,0.32074,0.94025,0.99872,1,0.995,0.9367,0.37806,0.23009,0.80732,0.0013763,0.0013763,0.0013763
128,7894.16,0.53018,0.32966,0.95351,0.99743,1,0.995,0.92265,0.42389,0.24563,0.83639,0.00137135,0.00137135,0.00137135
129,7954.3,0.47323,0.30274,0.92511,0.99876,1,0.995,0.92986,0.38736,0.2271,0.82248,0.0013664,0.0013664,0.0013664
130,8014.36,0.47707,0.3278,0.92677,0.99874,1,0.995,0.91787,0.43395,0.24481,0.8343,0.00136145,0.00136145,0.00136145
131,8074.55,0.48512,0.30915,0.90563,0.99769,1,0.995,0.92526,0.42622,0.23912,0.83687,0.0013565,0.0013565,0.0013565
132,8134.51,0.49915,0.33659,0.94338,0.99741,1,0.995,0.9023,0.4304,0.23548,0.84323,0.00135155,0.00135155,0.00135155
133,8194.54,0.46973,0.29798,0.92499,0.99901,1,0.995,0.90698,0.44169,0.26567,0.83731,0.0013466,0.0013466,0.0013466
134,8254.61,0.47927,0.29794,0.93619,0.99898,1,0.995,0.91057,0.42286,0.2564,0.83224,0.00134165,0.00134165,0.00134165
135,8314.71,0.49493,0.31066,0.9334,0.99815,1,0.995,0.93066,0.38227,0.23024,0.81901,0.0013367,0.0013367,0.0013367
136,8374.92,0.51104,0.31251,0.94411,0.99896,1,0.995,0.92879,0.40411,0.22127,0.81873,0.00133175,0.00133175,0.00133175
137,8435.08,0.47388,0.29253,0.92642,0.99908,1,0.995,0.92776,0.42703,0.22909,0.84183,0.0013268,0.0013268,0.0013268
138,8495.16,0.47685,0.29887,0.93507,0.99904,1,0.995,0.92253,0.41127,0.24073,0.81747,0.00132185,0.00132185,0.00132185
139,8555.45,0.4885,0.30034,0.93863,0.99904,1,0.995,0.91743,0.42279,0.22579,0.82784,0.0013169,0.0013169,0.0013169
140,8615.5,0.47006,0.29866,0.91792,0.99909,1,0.995,0.93157,0.39594,0.21,0.81394,0.00131195,0.00131195,0.00131195
141,8675.5,0.48169,0.29263,0.93229,0.99904,1,0.995,0.92763,0.41084,0.22515,0.83384,0.001307,0.001307,0.001307
142,8735.58,0.49362,0.29482,0.94381,0.99905,1,0.995,0.92466,0.39756,0.20962,0.81506,0.00130205,0.00130205,0.00130205
143,8795.93,0.4619,0.29552,0.94202,0.99908,1,0.995,0.94196,0.39142,0.21044,0.82349,0.0012971,0.0012971,0.0012971
144,8856.04,0.48726,0.29418,0.9395,0.99896,1,0.995,0.9379,0.41078,0.21245,0.82086,0.00129215,0.00129215,0.00129215
145,8915.86,0.49005,0.3049,0.94504,0.999,1,0.995,0.94226,0.39857,0.21632,0.82264,0.0012872,0.0012872,0.0012872
146,8975.85,0.47262,0.29299,0.90609,0.99902,1,0.995,0.94368,0.38853,0.213,0.81646,0.00128225,0.00128225,0.00128225
147,9035.95,0.45613,0.2998,0.91555,0.9991,1,0.995,0.93539,0.3851,0.21009,0.82425,0.0012773,0.0012773,0.0012773
148,9096.03,0.48477,0.29668,0.94239,0.99907,1,0.995,0.93131,0.3997,0.22089,0.81969,0.00127235,0.00127235,0.00127235
149,9155.91,0.47646,0.30437,0.91139,0.99904,1,0.995,0.86501,0.58275,0.28954,0.95313,0.0012674,0.0012674,0.0012674
150,9215.96,0.51328,0.32029,0.95729,0.99882,1,0.995,0.92381,0.44558,0.23271,0.83138,0.00126245,0.00126245,0.00126245
151,9276.07,0.46456,0.28836,0.92139,0.99902,1,0.995,0.92755,0.444,0.22594,0.82911,0.0012575,0.0012575,0.0012575
152,9336.1,0.46189,0.29743,0.92706,1,0.99968,0.995,0.93048,0.41364,0.22186,0.82816,0.00125255,0.00125255,0.00125255
153,9396.1,0.43919,0.28114,0.92645,0.99917,1,0.995,0.93059,0.37877,0.21846,0.80719,0.0012476,0.0012476,0.0012476
154,9456.23,0.43369,0.27948,0.91195,0.99896,1,0.995,0.93682,0.40026,0.21687,0.82416,0.00124265,0.00124265,0.00124265
155,9516.33,0.45583,0.29099,0.92449,0.99897,1,0.995,0.94797,0.37545,0.19589,0.80557,0.0012377,0.0012377,0.0012377
156,9576.5,0.47012,0.28972,0.928,0.99906,1,0.995,0.92765,0.40124,0.20169,0.81686,0.00123275,0.00123275,0.00123275
157,9636.4,0.46375,0.29163,0.93093,0.99909,1,0.995,0.92661,0.41281,0.20927,0.82847,0.0012278,0.0012278,0.0012278
158,9696.71,0.4955,0.30552,0.94673,0.99907,1,0.995,0.94606,0.378,0.2047,0.82853,0.00122285,0.00122285,0.00122285
159,9756.59,0.48187,0.28796,0.94341,0.99917,1,0.995,0.94161,0.40819,0.21111,0.84744,0.0012179,0.0012179,0.0012179
160,9816.55,0.48441,0.29828,0.95515,0.99907,1,0.995,0.92446,0.42513,0.22093,0.84556,0.00121295,0.00121295,0.00121295
161,9876.54,0.46584,0.29705,0.90607,0.99904,1,0.995,0.93133,0.42328,0.21426,0.82904,0.001208,0.001208,0.001208
162,9936.69,0.5005,0.31713,0.93985,0.99853,1,0.995,0.94019,0.38086,0.21092,0.81392,0.00120305,0.00120305,0.00120305
163,9996.83,0.47415,0.30218,0.93778,0.99867,1,0.995,0.9244,0.41539,0.22593,0.84252,0.0011981,0.0011981,0.0011981
164,10056.8,0.45439,0.28556,0.91357,0.99877,1,0.995,0.9274,0.42058,0.24456,0.84671,0.00119315,0.00119315,0.00119315
165,10116.7,0.45881,0.28601,0.9181,0.99748,1,0.995,0.91947,0.41687,0.23465,0.82514,0.0011882,0.0011882,0.0011882
166,10176.9,0.46042,0.29236,0.91959,0.99907,1,0.995,0.92668,0.4154,0.21814,0.82102,0.00118325,0.00118325,0.00118325
167,10237.1,0.47905,0.30394,0.92212,0.99905,1,0.995,0.94494,0.38979,0.21895,0.82838,0.0011783,0.0011783,0.0011783
168,10297.1,0.45506,0.29214,0.91829,0.99912,1,0.995,0.93871,0.39726,0.21775,0.81793,0.00117335,0.00117335,0.00117335
169,10357,0.44279,0.27523,0.92459,0.99911,1,0.995,0.93828,0.40205,0.20617,0.8184,0.0011684,0.0011684,0.0011684
170,10417.2,0.44311,0.28324,0.91604,0.99906,1,0.995,0.93763,0.38698,0.20628,0.82318,0.00116345,0.00116345,0.00116345
171,10477.4,0.43689,0.27956,0.90989,0.99904,1,0.995,0.9194,0.42981,0.21265,0.84166,0.0011585,0.0011585,0.0011585
172,10537.5,0.47557,0.29882,0.92862,0.99905,1,0.995,0.92024,0.43402,0.21186,0.8359,0.00115355,0.00115355,0.00115355
173,10597.7,0.48029,0.35994,0.93009,0.99904,1,0.995,0.93208,0.39377,0.20978,0.82745,0.0011486,0.0011486,0.0011486
174,10657.7,0.44136,0.28044,0.91759,0.99908,1,0.995,0.93814,0.39564,0.20449,0.81592,0.00114365,0.00114365,0.00114365
175,10717.8,0.43188,0.28002,0.91359,0.99909,1,0.995,0.9285,0.41433,0.21755,0.81984,0.0011387,0.0011387,0.0011387
176,10778,0.44386,0.29351,0.90907,0.99911,1,0.995,0.94757,0.38169,0.20543,0.81617,0.00113375,0.00113375,0.00113375
177,10838.1,0.46727,0.28204,0.91884,0.99908,1,0.995,0.94125,0.37763,0.20212,0.81138,0.0011288,0.0011288,0.0011288
178,10898.1,0.4561,0.2961,0.93162,0.99887,1,0.995,0.94028,0.38163,0.20019,0.80752,0.00112385,0.00112385,0.00112385
