epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,548.93,0.86086,0.55194,0.96846,0.9889,0.99122,0.99462,0.79527,0.78505,0.44681,0.95379,0.00149784,0.00149784,0.00149784
43,561.719,0.86668,0.54713,0.97005,0.99554,0.97295,0.99269,0.76768,0.90107,0.47549,0.98634,0.00149372,0.00149372,0.00149372
44,574.654,0.8559,0.5401,0.95801,0.97153,0.98845,0.99447,0.76141,0.96768,0.4925,0.99543,0.00148959,0.00148959,0.00148959
45,587.516,0.89964,0.55322,0.98459,0.96559,0.96796,0.99056,0.81181,0.77855,0.45542,0.93944,0.00148546,0.00148546,0.00148546
46,600.431,0.83116,0.52693,0.9608,0.98396,0.96828,0.98917,0.81032,0.77164,0.47321,0.95972,0.00148134,0.00148134,0.00148134
47,613.416,0.8407,0.53188,0.95931,0.97785,0.96575,0.99329,0.78791,0.8078,0.47673,0.98037,0.00147721,0.00147721,0.00147721
48,626.58,0.83039,0.53871,0.971,0.99233,0.95967,0.99264,0.78507,0.88806,0.46934,0.99695,0.00147309,0.00147309,0.00147309
49,639.669,0.85394,0.53974,0.97578,0.99277,0.9786,0.99294,0.79547,0.80687,0.44194,0.97364,0.00146896,0.00146896,0.00146896
50,652.548,0.82832,0.52882,0.97978,0.98799,0.98815,0.99459,0.78835,0.86091,0.44447,0.97223,0.00146483,0.00146483,0.00146483
51,665.526,0.82867,0.52838,0.94719,0.97544,0.9726,0.99251,0.80333,0.76017,0.45615,0.93507,0.00146071,0.00146071,0.00146071
52,678.404,0.82625,0.53504,0.96524,0.94182,0.9863,0.99204,0.77035,0.86495,0.46661,0.96507,0.00145658,0.00145658,0.00145658
53,691.301,0.85306,0.53208,0.96969,0.95766,0.99035,0.99084,0.79482,0.7713,0.56128,0.93268,0.00145246,0.00145246,0.00145246
54,704.222,0.80798,0.50427,0.95576,0.97527,0.9977,0.99466,0.80136,0.79883,0.45741,0.95114,0.00144833,0.00144833,0.00144833
55,717.107,0.82148,0.51828,0.96327,0.98474,0.97615,0.99413,0.79846,0.81436,0.45326,0.94951,0.00144421,0.00144421,0.00144421
56,730.01,0.82921,0.50974,0.96351,0.99367,0.9863,0.99394,0.80215,0.82683,0.4281,0.95331,0.00144008,0.00144008,0.00144008
57,742.949,0.81178,0.49703,0.95907,0.99112,0.99304,0.99453,0.80641,0.77647,0.40317,0.9401,0.00143595,0.00143595,0.00143595
58,755.888,0.81221,0.50148,0.95122,0.98779,0.97132,0.99366,0.80297,0.80412,0.43158,0.95529,0.00143183,0.00143183,0.00143183
59,768.709,0.80902,0.49881,0.95961,0.98036,1,0.99486,0.80473,0.80906,0.44839,0.96496,0.0014277,0.0014277,0.0014277
60,781.617,0.81712,0.49863,0.95797,0.98261,0.99456,0.99404,0.79255,0.78993,0.41818,0.95027,0.00142358,0.00142358,0.00142358
61,794.698,0.80236,0.48424,0.95346,0.99436,0.99901,0.995,0.81401,0.80048,0.41379,0.95208,0.00141945,0.00141945,0.00141945
62,807.706,0.80527,0.50244,0.94651,0.98337,0.98421,0.99387,0.77923,0.87618,0.44675,0.9683,0.00141532,0.00141532,0.00141532
63,820.68,0.79209,0.49498,0.94567,0.98245,0.97758,0.99426,0.79422,0.83902,0.42955,0.95897,0.0014112,0.0014112,0.0014112
64,834.069,0.80093,0.49753,0.95037,0.98271,0.97351,0.99338,0.7966,0.81711,0.47425,0.97682,0.00140707,0.00140707,0.00140707
65,846.96,0.7813,0.48403,0.94239,0.98937,0.99296,0.99493,0.81258,0.78577,0.42694,0.9623,0.00140295,0.00140295,0.00140295
66,859.917,0.80364,0.49749,0.94727,0.9894,0.99763,0.99466,0.8141,0.74378,0.41045,0.92693,0.00139882,0.00139882,0.00139882
67,872.982,0.78516,0.49279,0.9427,0.99515,0.99448,0.995,0.81365,0.75886,0.41272,0.93089,0.0013947,0.0013947,0.0013947
68,886.346,0.79853,0.50103,0.95274,0.99783,0.99485,0.995,0.82307,0.76464,0.39645,0.9416,0.00139057,0.00139057,0.00139057
69,899.133,0.78962,0.48782,0.95,0.9992,1,0.995,0.80946,0.79211,0.41542,0.94577,0.00138644,0.00138644,0.00138644
70,912.323,0.78559,0.49539,0.94418,0.97158,0.97945,0.99287,0.80969,0.7975,0.42306,0.94704,0.00138232,0.00138232,0.00138232
71,925.529,0.77191,0.46827,0.93386,0.99141,0.9863,0.99435,0.82095,0.73586,0.3945,0.93152,0.00137819,0.00137819,0.00137819
72,939.904,0.78231,0.47563,0.94067,0.98652,0.99315,0.99439,0.82048,0.72712,0.38102,0.92932,0.00137407,0.00137407,0.00137407
73,953.115,0.80896,0.47075,0.95542,0.97922,0.96885,0.987,0.81095,0.74203,0.44395,0.93152,0.00136994,0.00136994,0.00136994
74,966.384,0.77778,0.46595,0.93649,0.97261,0.99814,0.99323,0.82698,0.7685,0.38714,0.92887,0.00136581,0.00136581,0.00136581
75,979.382,0.7621,0.46442,0.94566,0.99733,0.99315,0.99493,0.81752,0.78921,0.39451,0.93991,0.00136169,0.00136169,0.00136169
76,992.248,0.77121,0.46692,0.94652,0.98961,0.99388,0.99493,0.82313,0.75422,0.41955,0.92927,0.00135756,0.00135756,0.00135756
77,1005.8,0.75941,0.46334,0.93461,0.99349,0.99838,0.995,0.82883,0.74825,0.41034,0.94004,0.00135344,0.00135344,0.00135344
78,1018.77,0.78942,0.4736,0.94778,0.99681,0.99101,0.99468,0.82595,0.77777,0.39556,0.94987,0.00134931,0.00134931,0.00134931
79,1031.96,0.74772,0.45269,0.94322,0.98215,0.99315,0.99453,0.82367,0.76961,0.40547,0.94578,0.00134519,0.00134519,0.00134519
80,1045.2,0.7708,0.46457,0.94483,0.99437,0.9752,0.99467,0.81776,0.78874,0.41082,0.95754,0.00134106,0.00134106,0.00134106
81,1058.02,0.75439,0.46566,0.94255,0.98822,0.9863,0.99088,0.81853,0.77938,0.40102,0.93972,0.00133693,0.00133693,0.00133693
82,1070.92,0.76235,0.46362,0.94268,0.99074,0.99315,0.99455,0.8243,0.74173,0.38039,0.93573,0.00133281,0.00133281,0.00133281
83,1083.74,0.73542,0.44662,0.92363,1,0.9975,0.995,0.82214,0.76534,0.38873,0.95542,0.00132868,0.00132868,0.00132868
84,1096.54,0.76536,0.46014,0.93814,0.96957,0.99849,0.99405,0.82048,0.77015,0.38825,0.95562,0.00132456,0.00132456,0.00132456
85,1109.66,0.75943,0.47047,0.93558,0.96595,0.98873,0.98924,0.80625,0.78668,0.41004,0.93526,0.00132043,0.00132043,0.00132043
86,1122.59,0.74428,0.45806,0.92052,0.9913,1,0.99493,0.80296,0.78858,0.39135,0.96137,0.0013163,0.0013163,0.0013163
87,1135.49,0.75292,0.46186,0.93445,0.96727,0.99315,0.99407,0.82231,0.77962,0.42538,0.9499,0.00131218,0.00131218,0.00131218
88,1148.46,0.74033,0.46093,0.93185,0.97374,0.9589,0.98744,0.81131,0.77434,0.41656,0.94447,0.00130805,0.00130805,0.00130805
89,1161.43,0.74806,0.44636,0.92894,0.98587,0.9844,0.98977,0.81211,0.76673,0.37093,0.9436,0.00130393,0.00130393,0.00130393
90,1174.34,0.76975,0.45614,0.95521,0.96845,0.9863,0.98948,0.82243,0.76187,0.39683,0.93999,0.0012998,0.0012998,0.0012998
91,1187.31,0.75738,0.46584,0.93924,0.97186,0.99296,0.994,0.82773,0.73139,0.3833,0.94398,0.00129568,0.00129568,0.00129568
92,1200.27,0.74131,0.45286,0.93876,0.97854,0.98526,0.99371,0.8211,0.76646,0.42247,0.96423,0.00129155,0.00129155,0.00129155
93,1213.2,0.74107,0.46533,0.93659,0.99681,0.99957,0.995,0.83149,0.77277,0.37545,0.94892,0.00128742,0.00128742,0.00128742
94,1226.1,0.7886,0.47463,0.95209,0.98051,0.99785,0.99405,0.82724,0.76351,0.41501,0.93457,0.0012833,0.0012833,0.0012833
95,1239.11,0.74774,0.45356,0.92993,0.97644,0.9863,0.99104,0.82779,0.71541,0.37153,0.9335,0.00127917,0.00127917,0.00127917
96,1252.13,0.7495,0.45262,0.93239,0.993,0.98182,0.99454,0.82968,0.76135,0.40178,0.93294,0.00127505,0.00127505,0.00127505
97,1265.11,0.72616,0.44589,0.93084,0.99669,0.9863,0.99443,0.8322,0.74492,0.37198,0.95109,0.00127092,0.00127092,0.00127092
98,1277.99,0.73606,0.44374,0.92386,0.99093,0.97926,0.99162,0.83576,0.75401,0.41034,0.9362,0.00126679,0.00126679,0.00126679
99,1290.85,0.72077,0.44081,0.92439,0.97018,0.9927,0.99364,0.80724,0.79665,0.3913,0.96151,0.00126267,0.00126267,0.00126267
