epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,153.415,1.25697,3.31422,1.42995,0.00333,0.9726,0.65552,0.44797,0.93568,3.75613,1.11708,0.0003334,0.0003334,0.0003334
2,306.672,1.0551,1.86006,1.19223,0.96275,0.34037,0.84008,0.55513,1.15678,3.5029,1.26883,0.000681778,0.000681778,0.000681778
3,464.097,1.0663,1.65429,1.16244,0.86673,0.44024,0.75697,0.51942,1.10165,3.23389,1.17822,0.00102842,0.00102842,0.00102842
4,618.784,1.03914,1.45234,1.16395,0.74326,0.6102,0.8387,0.54852,1.16123,2.74989,1.24161,0.00137334,0.00137334,0.00137334
5,774.882,1.09613,1.4102,1.19129,0.83611,0.38053,0.52882,0.37142,1.21917,2.8567,1.38602,0.0016505,0.0016505,0.0016505
6,925.578,1.10052,1.3153,1.2135,0.8078,0.75743,0.81707,0.51596,1.26353,1.84421,1.47526,0.00164637,0.00164637,0.00164637
7,1076.2,1.0366,1.14498,1.17027,0.81894,0.6502,0.79208,0.56783,1.09831,1.85121,1.31582,0.00164225,0.00164225,0.00164225
8,1226.7,1.03607,1.05259,1.17832,0.78935,0.70065,0.78485,0.57699,1.14405,2.84141,1.38061,0.00163812,0.00163812,0.00163812
9,1380.45,1.02043,0.98356,1.16647,0.66963,0.62229,0.62862,0.45248,1.03485,2.04434,1.19424,0.00163399,0.00163399,0.00163399
10,1530.57,0.97886,0.90731,1.12169,0.88487,0.86406,0.95585,0.71366,0.93656,1.30068,1.09721,0.00162987,0.00162987,0.00162987
11,1681.05,0.95277,0.87458,1.12112,0.70298,0.6776,0.72992,0.4961,1.34326,1.36837,1.36931,0.00162574,0.00162574,0.00162574
12,1831.52,0.95061,0.81628,1.11311,0.92459,0.83479,0.95662,0.67657,1.13743,1.01818,1.20034,0.00162162,0.00162162,0.00162162
13,1983.34,1.00587,0.81568,1.1411,0.63291,0.78265,0.86352,0.56151,1.30721,1.39307,1.36563,0.00161749,0.00161749,0.00161749
14,2133.31,0.96174,0.79362,1.12232,0.91842,0.77683,0.85341,0.63363,1.12636,0.99119,1.23243,0.00161336,0.00161336,0.00161336
15,2287.95,0.94067,0.77964,1.11505,0.96362,0.87046,0.94236,0.67649,1.01891,0.7787,1.0779,0.00160924,0.00160924,0.00160924
